id	name	element	description	imagepath	attack	defense	power
33	Katara	WATER	Waterbending master from Southern Water Tribe, sister of Sokka, and friend of Aang.	character/Katara.png	13	7	5
34	Sokka	WATER	Water Tribe warrior of the Southern Water Tribe.	character/Sokka.png	6	10	3
35	Yue	WATER	Princess of the Northern Water Tribe.	character/Yue.png	4	9	2
36	Hakoda	WATER	Father of Sokka and Katara, leading the Invasion of the Fire Nation.	character/Hakoda.png	7	11	4
37	Huu	WATER	Waterbending master from Foggy Swamp Tribe.	character/Huu.png	8	5	2
38	Hama	WATER	Developer of bloodbending.	character/Hama.png	12	6	4
39	Pakku	WATER	Aang's teacher for waterbending at Northern Water Tribe.	character/Pakku.png	10	6	3
40	Arnook	WATER	Chief of the Northern Water Tribe.	character/Arnook.png	4	7	1
41	Kuruk	WATER	Water Tribe Avatar, predecessor of Avatar Kyoshi.	character/Kuruk.png	6	14	5
42	Bato	WATER	Friend of Hakoda since childhood.	character/Bato.png	7	9	3
43	Due	WATER	Waterbending master from Foggy Swamp Tribe.	character/Due.png	5	8	2
44	Hahn	WATER	Career-minded soldier from Northern Water Tribe.	character/Hahn.png	8	3	1
45	Aang	AIR	Avatar Roku's successor. Also learned how to energybending.	character/Aang.png	14	6	5
46	Appa	AIR	Aang's loyal sky bison friend.	character/Appa.png	5	8	2
47	Momo	AIR	Aang's loyal winged lemur friend.	character/Momo.png	6	5	1
48	Gyatso	AIR	Aang's guardian, mentor, and father figure.	character/Gyatso.png	5	10	3
49	Teo	AIR	Paraplegic Earth Kingdom boy who lived in the Northern Air Temple with his father, the mechanist.	character/Teo.png	5	6	1
50	Yangchen	AIR	Air Nomad Avatar before Aang, predecessor of Kuruk.	character/Yangchen.png	10	8	4
51	Afiko	AIR	Airbender of Southern Air Temple that revealed the location of his home to the Fire Nation.	character/Afiko.png	7	6	2
52	Iio	AIR	Air Nomad nun and the Mother Superior of the Eastern Air Temple.	character/Iio.png	5	8	2
53	Pathik	AIR	A nomadic supercentenarian who possessed great knowledge of the Spirit World.	character/Pathik.png	9	9	4
54	Tashi	AIR	One of five monks in charge of the Southern Air Temple.	character/Tashi.png	7	9	3
55	Wan	AIR	The first Avatar.	character/Wan.png	10	10	5
56	Mechanist	AIR	An inventor and engineer from the Earth Kingdom who became a refugee after being displaced by a flood.	character/Mechanist.png	8	8	3
57	Zuko	FIRE	Prince of the Fire Nation, Fire Lord after Ozai.	character/Zuko.png	12	8	5
58	Azula	FIRE	Princess of the Fire Nation, daughter of Fire Lord Ozai.	character/Azula.png	11	7	4
59	Ozai	FIRE	Fire Lord during the final years of the Hundred Year War.	character/Ozai.png	9	9	4
60	Ty Lee	FIRE	Skilled acrobatic, mastering chi blocking martial arts.	character/Ty Lee.png	9	4	2
61	Combustion Man	FIRE	Firebending assassin and silent bounty hunter that was hired by Zuko to eliminate Aang.	character/Combustion Man.png	11	4	3
62	Chit Sang	FIRE	Inmate at the Boiling Rock prison in the Fire Nation.	character/Chit Sang.png	7	4	1
63	Iroh	FIRE	Retired Fire Nation General and wise mentor to his nephew Zuko.	character/Iroh.png	8	8	3
64	Zhao	FIRE	Leader of the Fire Nation Navy that is obsessed to capture Aang.	character/Zhao.png	8	5	2
